y/W,U2
0,13.2461881
0.031344504,12.9773881
0.06267334,12.9077881
0.094002175,13.6964881
0.125302806,12.8708881
0.156678648,12.8852881
0.18796361,11.6018881
0.219301847,10.1180881
0.250640083,8.651388095
0.281972053,6.549288095
0.31326955,6.197388095
0.344648526,6.201588095
0.375933488,7.031388095
0.407281126,7.864188095
0.438603694,9.349788095
0.469938796,10.5275881
0.50123316,11.1899881
0.532621538,12.0071881
0.563893964,12.9080881
0.595232201,13.2110881
0.626554768,13.1732881
0.657889871,13.0199881
0.689174833,12.5030881
0.720556943,12.5597881
0.751819968,12.9659881
0.783173874,12.8375881
0.814483906,12.8366881
0.845812742,13.4222881
0.877082034,13.3172881
0.908473546,13.1333881
0.939698965,13.0199881
0.971056005,13.0100881
1,12.7598881
